"기준년월","서비스사용일","서비스사용시간값","사용자위치경도","사용자위치위도","서비스사용횟수"
"201901","20190101","00","33.216","126.251","38"
"201901","20190101","00","33.218","126.251","7"
"201901","20190101","00","33.230","126.185","2"
"201901","20190101","00","33.233","126.488","155"
"201901","20190101","00","33.247","126.410","2"
"201901","20190101","00","33.250","126.564","3"
"201901","20190101","00","33.255","126.415","121"
"201901","20190101","00","33.266","126.561","48"
"201901","20190101","00","33.297","126.167","3"
"201901","20190101","00","33.324","126.844","7"
"201901","20190101","00","33.393","126.240","37"
"201901","20190101","00","33.438","126.667","23"
"201901","20190101","00","33.461","126.914","19"
"201901","20190101","00","33.469","126.542","4"
"201901","20190101","00","33.470","126.542","14"
"201901","20190101","00","33.482","126.481","2"
"201901","20190101","00","33.483","126.481","48"
"201901","20190101","00","33.486","126.487","3"
"201901","20190101","00","33.489","126.488","4"
"201901","20190101","00","33.498","126.530","2"
"201901","20190101","00","33.500","126.519","8"
"201901","20190101","00","33.500","126.520","6"
"201901","20190101","00","33.500","126.521","10"
"201901","20190101","00","33.501","126.520","21"
"201901","20190101","00","33.514","126.510","7"
"201901","20190101","00","33.516","126.580","22"
"201901","20190101","00","33.517","126.539","49"
"201901","20190101","00","33.518","126.583","3"
"201901","20190101","00","33.531","126.822","56"
"201901","20190101","00","33.534","126.823","6"
"201901","20190101","00","33.542","126.666","10"
"201901","20190101","00","33.554","126.791","3"
"201901","20190101","00","34.572","126.595","106"
"201901","20190101","00","34.670","127.087","3"
"201901","20190101","00","34.840","128.419","3"
"201901","20190101","00","34.843","128.441","7"
"201901","20190101","00","34.848","127.604","3"
"201901","20190101","00","34.873","128.626","3"
"201901","20190101","00","34.873","128.732","6"
"201901","20190101","00","34.875","128.731","3"
"201901","20190101","00","34.878","128.420","3"
"201901","20190101","00","34.880","128.702","7"
"201901","20190101","00","34.888","126.447","39"
"201901","20190101","00","34.914","128.654","35"
"201901","20190101","00","34.943","127.699","15"
"201901","20190101","00","34.971","127.521","3"
"201901","20190101","00","34.977","128.522","4"
"201901","20190101","00","35.021","126.789","29"
"201901","20190101","00","35.021","126.791","4"
"201901","20190101","00","33.216","126.224","2"
