음식점,도로명,위도,경도
상춘재,제주특별자치도 제주시 조천읍 선진길 26,33.458697,126.7047561
남양수산,제주특별자치도 서귀포시 성산읍 고성동서로56번길 11,33.4502137,126.9141019
선흘곶,제주특별자치도 제주시 조천읍 동백로 102,33.5082008,126.717982
미영이네식당,제주특별자치도 서귀포시 대정읍 하모항구로 42,33.2177392,126.2498282
스시호시카이,제주특별자치도 제주시 오남로 90,33.4877756,126.5175182
밀리우,제주특별자치도 서귀포시 표선면 민속해안로 537,33.3214847,126.8447337
숙성도,제주특별자치도 제주시 원노형로 41,33.4850285,126.4850251
곰막,제주특별자치도 제주시 구좌읍 구좌해안로 64,33.5568294,126.7205072
중문수두리보말칼국수,제주특별자치도 서귀포시 천제연로 190,33.2515885,126.4248627
오드랑베이커리,제주특별자치도 제주시 조천읍 조함해안로 552-3,33.5421406,126.6715868
우진해장국,제주특별자치도 제주시 서사로 11,33.5115602,126.5200253
카페태희,제주특별자치도 제주시 애월읍 곽지3길 27,33.4494414,126.3044213
맛나식당,제주특별자치도 서귀포시 성산읍 동류암로 41,33.4485371,126.9160083
진아떡집,제주특별자치도 제주시 동문로4길 7-1,33.51239,126.5283851
닻,제주특별자치도 제주시 애월읍 가문동길 41-2,33.486079,126.3920069
민경이네어등포해녀촌,제주특별자치도 제주시 구좌읍 행원로13길 131,33.5570219,126.8119874
엄마손횟집,제주특별자치도 제주시 연동3길 35,33.4866834,126.488096
더스푼,제주특별자치도 제주시 구남동1길 45,33.4934034,126.5411536
명진전복,제주특별자치도 제주시 구좌읍 해맞이해안로 1282,33.5324459,126.8494352
피어22,제주특별자치도 제주시 한림읍 금능7길 22 금능어촌계복지회관 잠녀의집,33.3899305,126.2277935
국수만찬,제주특별자치도 제주시 은남3길 1,33.4871331,126.495491
만선식당,제주특별자치도 서귀포시 대정읍 하모항구로 44,33.2178613,126.2498071
칠돈가,제주특별자치도 제주시 서천길 1,33.5023019,126.5107208
천짓골식당,제주특별자치도 서귀포시 중앙로41번길 4,33.2482403,126.5613052
일통이반,제주특별자치도 제주시 중앙로2길 25,33.5170684,126.5220787
연동마라도,제주특별자치도 제주시 신광로8길 3,33.4868181,126.4894705
해심가든 ,제주특별자치도 서귀포시 천제연로 203-4,33.2519144,126.426536
섭지코지로,제주특별자치도 서귀포시 성산읍 시흥하동로57,33.4738902,126.9052522
어우늘,제주특별자치도 제주시 연북로 222,33.4810533,126.5046451
광명식당,제주특별자치도 제주시 동문로4길 9,33.5120583,126.5282277
마마롱,제주특별자치도 제주시 애월읍 평화로 2783,33.4521492,126.4391489
88돼지,제주특별자치도 제주시 제원길 7,33.4892186,126.4895892
춘심이네,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16,33.2644513,126.3704974
바그다드,제주특별자치도 제주시 서광로32길 38,33.497474,126.5296294
포도호텔레스토랑,제주특별자치도 서귀포시 안덕면 산록남로 863,33.313666,126.3899885
그리운바다성산포,제주특별자치도 서귀포시 성산읍 성산등용로 94,33.4698399,126.9300547
경일낙지,제주특별자치도 제주시 다랑곶길 30,33.4884403,126.4809897
미남미녀,제주특별자치도 서귀포시 색달중앙로55번길 22,33.2602225,126.4121695
알동네집,제주특별자치도 제주시 한경면 연명로 545,33.3167526,126.2675105
제주맥주,제주특별자치도 제주시 한림읍 금능농공길 62-11,33.3584744,126.2412156
올래국수,제주특별자치도 제주시 귀아랑길 24,33.4914994,126.4971606
뽈살집(본점),제주특별자치도 서귀포시 중정로91번길 37,33.25066,126.5630648
은희네해장국,제주특별자치도 제주시 고마로13길 8,33.5085278,126.5407277
더꽃돈,제주특별자치도 제주시 한림읍 한림로 328,33.3928001,126.2399956
고로케야 (휴업중),제주특별자치도 제주시 가령골2길 13-20,33.5045613,126.5392166
무거버거,제주특별자치도 제주시 조천읍 조함해안로 356,33.5489822,126.6550644
뽈살집,제주특별자치도 제주시 한림읍 한림상로 194,33.4156473,126.2692725
톰톰카레,제주특별자치도 제주시 구좌읍 평대2길 39-28,33.5354672,126.8388496
남춘식당,제주특별자치도 제주시 청귤로 12,33.4996531,126.5375231
섬오름해물라면,제주특별자치도 제주시 조천읍 조함해안로 355-7,33.5499484,126.6558601
골막식당,제주특별자치도 제주시 천수로 12,33.5024713,126.5384013
시골길,제주특별자치도 제주시 연동13길 9,33.488836,126.4947121
맥파이 브루어리,제주특별자치도 제주시 동회천1길 23,33.5032042,126.6171912
시스터필드,제주특별자치도 서귀포시 월드컵로 8,33.2490026,126.50732
만세국수,제주특별자치도 제주시 오라로 156,33.4942549,126.5192372
해월정,제주특별자치도 제주시 구좌읍 해맞이해안로 2284,33.4968106,126.9103807
호자,제주특별자치도 제주시 구좌읍 세화8길 7 1F,33.521407,126.8575846
고등어쌈밥,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 122-5,33.4494732,126.9207363
버터모닝,제주특별자치도 제주시 애월읍 하광로 279,33.4642271,126.422912
네거리식당,제주특별자치도 서귀포시 서문로29번길 20,33.2485159,126.5592865
안거리밖거리,제주특별자치도 서귀포시 솔동산로 6-1,33.2443029,126.5639816
그린정,제주특별자치도 서귀포시 중문관광로 305,33.2475598,126.4296958
털보네고양이,제주특별자치도 서귀포시 남원읍 태위로 381,33.2754134,126.687831
